local_code,name,latitude_deg,longitude_deg,city
ABQ,Albuquerque International Sunport Airport,35.04019928,-106.6090012,Albuquerque
AMA,Rick Husband Amarillo International Airport,35.2193985,-101.7060013,Amarillo
ATL,Hartsfield Jackson Atlanta International Airport,33.63669968,-84.42810059,Atlanta
AUS,Austin Bergstrom International Airport,30.19449997,-97.66989899,Austin
BDL,Bradley International Airport,41.93889999,-72.68319702,Hartford
BFI,Boeing Field King County International Airport,47.52999878,-122.302002,Seattle
BGR,Bangor International Airport,44.80739975,-68.82810211,Bangor
BHM,Birmingham-Shuttlesworth International Airport,33.56290054,-86.75350189,Birmingham
BIL,Billings Logan International Airport,45.80770111,-108.5429993,Billings
BNA,Nashville International Airport,36.12450027,-86.67819977,Nashville
BOS,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,Boston
BUF,Buffalo Niagara International Airport,42.94049835,-78.73220062,Buffalo
BWI,Baltimore/Washington International Thurgood Marshall Airport,39.17539978,-76.66829681,Baltimore
CHS,Charleston Air Force Base-International Airport,32.89860153,-80.04049683,Charleston
CLE,Cleveland Hopkins International Airport,41.4117012,-81.84980011,Cleveland
CLT,Charlotte Douglas International Airport,35.2140007,-80.94309998,Charlotte
CMH,Port Columbus International Airport,39.9980011,-82.89189911,Columbus
CPR,Casper-Natrona County International Airport,42.90800095,-106.4639969,Casper
CRP,Corpus Christi International Airport,27.77039909,-97.50119781,Corpus Christi
CVG,Cincinnati Northern Kentucky International Airport,39.04880142,-84.6678009,Cincinnati
DAY,James M Cox Dayton International Airport,39.90240097,-84.2193985,Dayton
DEN,Denver International Airport,39.86169815,-104.6729965,Denver
DFW,Dallas Fort Worth International Airport,32.89680099,-97.03800201,Dallas-Fort Worth
DLH,Duluth International Airport,46.84209824,-92.19360352,Duluth
DSM,Des Moines International Airport,41.5340004,-93.6631012,Des Moines
ERI,Erie International Tom Ridge Field,42.08312701,-80.17386675,Erie
EWR,Newark Liberty International Airport,40.69250107,-74.16870117,Newark
